iter	Logloss
0	0.687445315
1	0.6806656373
2	0.6725817286
3	0.6666543405
4	0.6599945762
5	0.6542093427
6	0.6478227425
7	0.6411239502
8	0.6346692528
9	0.6285657692
10	0.6236416328
11	0.6178960855
12	0.6121701982
13	0.6055687043
14	0.6002553269
15	0.5948697338
16	0.5897476918
17	0.5848998927
18	0.5793270278
19	0.573262978
20	0.5674668532
21	0.5621323613
22	0.5569547536
23	0.5523906765
24	0.5474595854
25	0.5435227912
26	0.5381066436
27	0.5336556223
28	0.5295951551
29	0.5264584543
30	0.5225949057
31	0.5177505528
32	0.5134866879
33	0.5088690631
34	0.5055486844
35	0.501193488
36	0.4977516828
37	0.4932805339
38	0.4900890925
39	0.4865009845
40	0.48249437
41	0.4781083168
42	0.473869557
43	0.4697808599
44	0.4659629676
45	0.462395776
46	0.4593184775
47	0.4550372271
48	0.4513987611
49	0.4478199564
50	0.4442257563
51	0.4403813297
52	0.4371939931
53	0.4333733478
54	0.4303144979
55	0.4273602772
56	0.4238964537
57	0.420695438
58	0.4173198463
59	0.414065571
60	0.4106139504
61	0.4070869596
62	0.4036859958
63	0.4001547682
64	0.3981111797
65	0.3959818513
66	0.3933756503
67	0.3906742897
68	0.3878764474
69	0.3849210473
70	0.3812296935
71	0.3785620577
72	0.3762968794
73	0.3726672597
74	0.3699736489
75	0.3676025017
76	0.364613514
77	0.3618014664
78	0.3592209849
79	0.3562386205
80	0.3531631501
81	0.3508548858
82	0.3490960165
83	0.3465015716
84	0.344529754
85	0.341889903
86	0.3390426651
87	0.3370069877
88	0.3345822432
89	0.3325811806
90	0.3304829906
91	0.3283414033
92	0.3267083722
93	0.3246877517
94	0.3227376756
95	0.3206925144
96	0.3188686165
97	0.3171115693
98	0.31519506
99	0.3131737437
100	0.3114088943
101	0.309501549
102	0.3070140405
103	0.3049516784
104	0.3026071248
105	0.3006480294
106	0.2987188527
107	0.2967887893
108	0.2950917667
109	0.2933264762
110	0.2913725512
111	0.2893699792
112	0.2877551003
113	0.2861561821
114	0.284205909
115	0.2825419071
116	0.2809212834
117	0.2792430399
118	0.2777216071
119	0.2760321328
120	0.2744743642
121	0.2727737971
122	0.271223962
123	0.2700441286
124	0.2687336182
125	0.2673506528
126	0.2657058209
127	0.263895006
128	0.2624838467
129	0.2606504172
130	0.2591093116
131	0.2578685771
132	0.2565427885
133	0.2552541978
134	0.2539698022
135	0.2524583666
136	0.2513130068
137	0.2497646821
138	0.2484514995
139	0.2471447118
140	0.2460427862
141	0.2447164525
142	0.2437836162
143	0.242568721
144	0.2411255597
145	0.2399444262
146	0.2389895883
147	0.237544552
148	0.2363655994
149	0.2356072111
150	0.2344079003
151	0.2334587768
152	0.2321079413
153	0.2308007793
154	0.2298881645
155	0.22888841
156	0.2274293549
157	0.2260937234
158	0.2249491675
159	0.2239272824
160	0.2228073478
161	0.2218365091
162	0.2208611169
163	0.2197502519
164	0.2184481454
165	0.2171942041
166	0.2162453605
167	0.2152711652
168	0.2142046406
169	0.2130566848
170	0.2121168569
171	0.210999586
172	0.2101661569
173	0.2091334084
174	0.207719608
175	0.2065410672
176	0.2056943532
177	0.2047447889
178	0.2036106753
179	0.2026265672
180	0.2020171829
181	0.2011199972
182	0.2004522935
183	0.1995694913
184	0.1984627513
185	0.1978363582
186	0.1967972151
187	0.1959292619
188	0.1952385276
189	0.1941911639
190	0.1932090336
191	0.1924223225
192	0.1917123785
193	0.1909105714
194	0.1900773669
195	0.1892230447
196	0.1882212631
197	0.1874284354
198	0.1866655961
199	0.1858919841
200	0.1850145638
201	0.1841167629
202	0.1834800585
203	0.1826870472
204	0.182182125
205	0.1814437503
206	0.180672356
207	0.1799849193
208	0.1795518746
209	0.1790648036
210	0.1781951525
211	0.1774308427
212	0.1765899295
213	0.1759581055
214	0.1754038688
215	0.1744769388
216	0.1739721858
217	0.1732096536
218	0.1724906975
219	0.171784509
220	0.1709763692
221	0.1702726126
222	0.1696008129
223	0.1687955581
224	0.1680829888
225	0.1674665803
226	0.1668386928
227	0.1662388402
228	0.1654473988
229	0.1647032194
230	0.1640492551
231	0.1634404665
232	0.1626145534
233	0.1618417665
234	0.1614848917
235	0.160708104
236	0.1600812531
237	0.1595345379
238	0.1590498758
239	0.1582604532
240	0.1574832924
241	0.1570415742
242	0.1563269895
243	0.1556983533
244	0.1551671639
245	0.1546346448
246	0.1541339967
247	0.1532828366
248	0.1526158367
249	0.1521791398
250	0.1514953124
251	0.1510336121
252	0.1505877103
253	0.1500296811
254	0.1497042137
255	0.1489180795
256	0.1484065676
257	0.1478377844
258	0.1473768435
259	0.146851474
260	0.1462904457
261	0.1457121784
262	0.1449814654
263	0.1443736435
264	0.1440198452
265	0.1435122538
266	0.1429453159
267	0.1423866616
268	0.1418289672
269	0.1413656367
270	0.1408826391
271	0.1405213276
272	0.1400070496
273	0.1396057415
274	0.1391626742
275	0.1386013352
276	0.1382462422
277	0.1377680904
278	0.1373070724
279	0.1368538232
280	0.1364033979
281	0.1358609814
282	0.135365268
283	0.1348137819
284	0.1344168943
285	0.1340105428
286	0.1336285136
287	0.1331388962
288	0.1325554808
289	0.1319790467
290	0.1314996514
291	0.131080661
292	0.1305417785
293	0.1301437453
294	0.1296870233
295	0.1291321241
296	0.1286335515
297	0.1280985886
298	0.1276939532
299	0.1272807584
300	0.1268538648
301	0.1265046109
302	0.1261917516
303	0.125792127
304	0.1254736149
305	0.1250232186
306	0.1246384307
307	0.1243180224
308	0.1239042013
309	0.1236014012
310	0.1231659557
311	0.1227610547
312	0.1221954181
313	0.1217148933
314	0.1212643536
315	0.1208739411
316	0.1204648774
317	0.1201958632
318	0.1198133602
319	0.119342974
320	0.1188950932
321	0.1186014804
322	0.1182086229
323	0.117897712
324	0.1174928358
325	0.1170688547
326	0.116667199
327	0.1160727603
328	0.1156410239
329	0.1152743092
330	0.1149137347
331	0.114656678
332	0.1142680019
333	0.1139960032
334	0.1136560979
335	0.1134015403
336	0.1131499824
337	0.112784946
338	0.1124844521
339	0.1121415541
340	0.1119124281
341	0.1115953605
342	0.1112454083
343	0.1107844559
344	0.1104443264
345	0.1099955936
346	0.1097582527
347	0.1094482296
348	0.109058493
349	0.108789162
350	0.1084411329
351	0.1079885227
352	0.1077951759
353	0.1074190079
354	0.1072645738
355	0.1069133366
356	0.1065623639
357	0.1062374051
358	0.1058924716
359	0.1056008847
360	0.1052606771
361	0.1049133582
362	0.1046929653
363	0.1043542926
364	0.1039959867
365	0.1036712921
366	0.1033162305
367	0.1030395095
368	0.1027181227
369	0.1023341308
370	0.1020855047
371	0.1018604167
372	0.1015116158
373	0.1011736662
374	0.1009021901
375	0.1006595057
376	0.1005611995
377	0.100285321
378	0.09996377544
379	0.09967849309
380	0.09941289358
381	0.09911906054
382	0.09882186331
383	0.09853439373
384	0.09813278974
385	0.09795709582
386	0.09761477031
387	0.0973814387
388	0.09712656954
389	0.09687360894
390	0.09658688216
391	0.09641194949
392	0.09620391022
393	0.09598453335
394	0.0956409746
395	0.09533704598
396	0.09499979019
397	0.09465055357
398	0.09435804544
399	0.09409960514
400	0.09404312536
401	0.09386228577
402	0.0935950842
403	0.09338303266
404	0.09311631549
405	0.09270492756
406	0.09242646948
407	0.09207896654
408	0.09190908725
409	0.09159805811
410	0.09134393325
411	0.09106627908
412	0.09079194583
413	0.09048556465
414	0.09021745569
415	0.09002951892
416	0.08978268731
417	0.08951685574
418	0.08920038019
419	0.08899498833
420	0.0887412093
421	0.08852178342
422	0.08833804651
423	0.08804170644
424	0.08785613206
425	0.08765841438
426	0.08743455113
427	0.08725543071
428	0.08706766912
429	0.086870113
430	0.08664737256
431	0.08645040614
432	0.0862260125
433	0.0859518511
434	0.08569277362
435	0.08546744385
436	0.08526051619
437	0.08501441951
438	0.08476494018
439	0.08461815149
440	0.08446823431
441	0.08428697114
442	0.08404457478
443	0.08382527356
444	0.08360843096
445	0.08343284324
446	0.08325946119
447	0.0830405418
448	0.08282262631
449	0.082596712
450	0.08234293388
451	0.08221178944
452	0.08204532638
453	0.08174506964
454	0.08151182971
455	0.08131951457
456	0.08109326351
457	0.08090998467
458	0.08066044332
459	0.0805669197
460	0.08042394782
461	0.08030814901
462	0.08014337333
463	0.07987143848
464	0.07966848194
465	0.07948504608
466	0.0792615217
467	0.07908617906
468	0.07885604976
469	0.07874620959
470	0.0785603437
471	0.07839957182
472	0.07832793415
473	0.07815807755
474	0.07804022102
475	0.07795377416
476	0.07772678636
477	0.07753804871
478	0.07744965577
479	0.07728484091
480	0.07707516463
481	0.07693212241
482	0.07676200228
483	0.07644372982
484	0.07623402192
485	0.07601021344
486	0.07581959672
487	0.07563990808
488	0.07546701241
489	0.0752573275
490	0.07512837709
491	0.07499868797
492	0.07480410347
493	0.0746320483
494	0.07438949416
495	0.07416489735
496	0.07403426954
497	0.0738281234
498	0.07360612877
499	0.07342374642
500	0.07322305743
501	0.07309739163
502	0.0728832686
503	0.07277348607
504	0.07264893823
505	0.07251808214
506	0.07237282804
507	0.07224805328
508	0.07211570495
509	0.07193647454
510	0.07180572539
511	0.07162587458
512	0.07150089726
513	0.07127155356
514	0.07116043492
515	0.07097461941
516	0.07080434346
517	0.07062488613
518	0.07043417199
519	0.07026774614
520	0.07011667121
521	0.06998868506
522	0.0698338384
523	0.06971219318
524	0.06957498299
525	0.06941911518
526	0.069238991
527	0.06918702165
528	0.06906416906
529	0.06892803856
530	0.06874971765
531	0.06864116897
532	0.0685185079
533	0.06839881527
534	0.0682191637
535	0.06804331986
536	0.06791180176
537	0.06768364546
538	0.06755058581
539	0.06740476123
540	0.06723302376
541	0.06706748608
542	0.06700202248
543	0.06693915652
544	0.06679004158
545	0.06667362191
546	0.06655491412
547	0.06640107529
548	0.06627359578
549	0.06615386699
550	0.06596652868
551	0.06582545326
552	0.06567775931
553	0.06556862789
554	0.06544398036
555	0.0652784454
556	0.0651362968
557	0.06500631813
558	0.06485156405
559	0.06468800512
560	0.06453656288
561	0.06437747097
562	0.06422427902
563	0.06411231169
564	0.06396056447
565	0.06383666305
566	0.06371695333
567	0.06364205117
568	0.06353930153
569	0.06339303279
570	0.06328290005
571	0.0631694535
572	0.06305325077
573	0.06292215867
574	0.06279399885
575	0.06266682584
576	0.06246530026
577	0.06236497823
578	0.0621934937
579	0.06204918193
580	0.06192426739
581	0.06179819237
582	0.06165129264
583	0.06148294068
584	0.0613894753
585	0.06128963601
586	0.06118488024
587	0.06106430459
588	0.06097984178
589	0.06087483942
590	0.06075146038
591	0.06063960939
592	0.06054741144
593	0.06038778703
594	0.06026370256
595	0.06011729479
596	0.05999777311
597	0.0598873251
598	0.05979447044
599	0.05971103286
600	0.05954251692
601	0.05941010384
602	0.05930545094
603	0.05919044227
604	0.05909903779
605	0.05902387255
606	0.05894165399
607	0.05882289597
608	0.0587151512
609	0.05858248563
610	0.05837968113
611	0.05829833849
612	0.05820042636
613	0.05809102536
614	0.05797714993
615	0.0578847877
616	0.05776740875
617	0.05766681729
618	0.05755752749
619	0.05747521529
620	0.05734950924
621	0.05726523765
622	0.05713857098
623	0.05703929475
624	0.05696208102
625	0.05686525342
626	0.05674398868
627	0.05664767605
628	0.05646020219
629	0.05635686786
630	0.05624415185
631	0.05609623369
632	0.05599569079
633	0.05587454692
634	0.05576963216
635	0.05568883322
636	0.05561304728
637	0.05549375297
638	0.05537624952
639	0.0552576685
640	0.05510885234
641	0.05505064553
642	0.05496520364
643	0.05485801558
644	0.05474500668
645	0.05465610666
646	0.05456731949
647	0.0544986628
648	0.05435782429
649	0.05431679784
650	0.05420301469
651	0.05411252152
652	0.05402264831
653	0.05394179022
654	0.05383869037
655	0.05373812433
656	0.05360421977
657	0.05349763124
658	0.05348026813
659	0.05336684246
660	0.0532619227
661	0.05321251817
662	0.05316268551
663	0.05302952449
664	0.05295693844
665	0.05282487089
666	0.05277923536
667	0.05263845585
668	0.05251410921
669	0.05244044619
670	0.05237103477
671	0.05228861576
672	0.05216189266
673	0.05203698265
674	0.05192076056
675	0.05185932768
676	0.05175558565
677	0.05170616961
678	0.05162326152
679	0.05152603817
680	0.05142048531
681	0.05133780822
682	0.05124705803
683	0.05117921176
684	0.05109366623
685	0.05097798769
686	0.05088944529
687	0.050775888
688	0.05072249086
689	0.05060254408
690	0.05053370495
691	0.0504446367
692	0.05035067285
693	0.05033610375
694	0.0502252966
695	0.05015243552
696	0.05006118141
697	0.04996608841
698	0.04988405895
699	0.04982882466
700	0.04975269001
701	0.04970387744
702	0.04961079253
703	0.04954833942
704	0.04941552212
705	0.04931808759
706	0.04924635279
707	0.04916470608
708	0.04903494419
709	0.04898401051
710	0.04888662091
711	0.04880265143
712	0.04868338389
713	0.04858813371
714	0.04847774681
715	0.04838572405
716	0.0482999628
717	0.04822622807
718	0.04815807152
719	0.04809438986
720	0.04804568802
721	0.04796854297
722	0.04784396442
723	0.04779865264
724	0.04774945823
725	0.04766762378
726	0.04760679285
727	0.04750443428
728	0.04739785694
729	0.04733459024
730	0.04727413388
731	0.04726442301
732	0.0471900408
733	0.04711889071
734	0.04703016042
735	0.0469340387
736	0.04686739617
737	0.04682247984
738	0.04672551337
739	0.04661718934
740	0.04647825863
741	0.04641561566
742	0.0463641301
