iter	Logloss
0	0.6849538375
1	0.6770998191
2	0.6697352146
3	0.6619671955
4	0.6549249035
5	0.6478872963
6	0.6396620477
7	0.6326059062
8	0.6253563251
9	0.6190824341
10	0.6130102059
11	0.6058061532
12	0.5991486772
13	0.5929084324
14	0.5858481075
15	0.5797569261
16	0.5738881332
17	0.5672192521
18	0.5615253617
19	0.5564686433
20	0.5506480633
21	0.5452538595
22	0.5406192428
23	0.5339688546
24	0.5277870261
25	0.523042887
26	0.5174878364
27	0.5122890742
28	0.5069407374
29	0.5020547322
30	0.4980531515
31	0.4932450058
32	0.4882229953
33	0.4836253289
34	0.4790028149
35	0.4748550861
36	0.4703436536
37	0.4654753641
38	0.4610913494
39	0.4573308621
40	0.4532972811
41	0.4486776834
42	0.4443062581
43	0.4408998042
44	0.4366598627
45	0.4335257771
46	0.4292356197
47	0.4255720868
48	0.4212817288
49	0.4177026692
50	0.4155136652
51	0.4115648456
52	0.40723269
53	0.4031986217
54	0.3995936291
55	0.3963038445
56	0.3930252486
57	0.3898172462
58	0.386147561
59	0.3832370397
60	0.3797331624
61	0.3766101344
62	0.3732261179
63	0.3705624683
64	0.3672520331
65	0.3649379687
66	0.3624538211
67	0.3592720052
68	0.3562598232
69	0.3535933488
70	0.3509978692
71	0.3490211688
72	0.3466194994
73	0.3431724939
74	0.3409021364
75	0.3390154099
76	0.3363613026
77	0.3339234597
78	0.3310976418
79	0.3283022142
80	0.3255889886
81	0.3231318217
82	0.3208270213
83	0.3184773956
84	0.3167561014
85	0.3148092565
86	0.3120625491
87	0.310242076
88	0.3076013841
89	0.3050639886
90	0.3026153126
91	0.3005333722
92	0.2987002864
93	0.2967108747
94	0.2942721862
95	0.2922743248
96	0.2905619856
97	0.2884994452
98	0.2865195043
99	0.2842690135
100	0.2827027939
101	0.2808736447
102	0.2787997055
103	0.2762076644
104	0.2745147042
105	0.2723717663
106	0.2703133387
107	0.2684083157
108	0.26687049
109	0.2657755093
110	0.2642076361
111	0.2625940622
112	0.2614168725
113	0.2597410257
114	0.2578694003
115	0.2562168688
116	0.2542628544
117	0.2529963427
118	0.2512710262
119	0.2493301269
120	0.2481067292
121	0.2464573589
122	0.2452798023
123	0.2440027092
124	0.2428510938
125	0.241339192
126	0.2400131679
127	0.2389429955
128	0.2376524716
129	0.236867028
130	0.2356207827
131	0.2344525239
132	0.2334799981
133	0.2320550261
134	0.2309047033
135	0.2298973295
136	0.2286696818
137	0.2272660299
138	0.2261019354
139	0.2247788779
140	0.2231388083
141	0.2220981725
142	0.2206753009
143	0.2196031793
144	0.218370313
145	0.217341766
146	0.2160418087
147	0.214774154
148	0.2135322596
149	0.2125021674
150	0.2114461984
151	0.2103775702
152	0.2092757369
153	0.2084158113
154	0.2071101281
155	0.2060851575
156	0.2047975721
157	0.204063883
158	0.2031031995
159	0.2019525333
160	0.2010380785
161	0.1999142132
162	0.1992309508
163	0.198101336
164	0.1972374013
165	0.1964064151
166	0.1952319668
167	0.1943184364
168	0.1930503383
169	0.1920300561
170	0.1914283265
171	0.1904305293
172	0.1893088523
173	0.1885525517
174	0.1878288199
175	0.1873847876
176	0.1864249811
177	0.1856228474
178	0.1851171915
179	0.1843555434
180	0.1833687029
181	0.1827710629
182	0.1817599412
183	0.1811931211
184	0.1802568131
185	0.1796409559
186	0.1786873094
187	0.177729308
188	0.1770866189
189	0.1762412487
190	0.1755672076
191	0.1746313594
192	0.1738258638
193	0.1730992439
194	0.1724847349
195	0.1717484681
196	0.1712839134
197	0.1705196303
198	0.1697151391
199	0.169008727
200	0.1681512679
201	0.1674506294
202	0.1666261893
203	0.1659321889
204	0.1655261142
205	0.1648606731
206	0.1642766236
207	0.1634095005
208	0.1628328335
209	0.1620778856
210	0.1614121934
211	0.1606736591
212	0.1602687102
213	0.1597309513
214	0.1592528617
215	0.1586062841
216	0.1579360589
217	0.1575371615
218	0.1568508525
219	0.1562180418
220	0.1556445264
221	0.1549783965
222	0.154408821
223	0.1540234112
224	0.1533708749
225	0.152824819
226	0.152298721
227	0.1516114929
228	0.1512087019
229	0.1505658088
230	0.1501114719
231	0.1495953746
232	0.1491908207
233	0.1486122957
234	0.1482790077
235	0.1477772111
236	0.1472151892
237	0.1466209292
238	0.1460582064
239	0.1457087658
240	0.145377413
241	0.144800191
242	0.1443234438
243	0.143919387
244	0.1434742558
245	0.1428789344
246	0.1423262116
247	0.1418537198
248	0.1412886944
249	0.140993377
250	0.1404045203
251	0.1399137045
252	0.1394315218
253	0.1389024889
254	0.1385830563
255	0.1380899919
256	0.1375979625
257	0.1371112671
258	0.136637233
259	0.1363202976
260	0.1359646721
261	0.1354101822
262	0.1349536005
263	0.1345056638
264	0.1340563904
265	0.1336597034
266	0.1333220262
267	0.1328071816
268	0.1322908182
269	0.131700758
270	0.1313827221
271	0.1310672053
272	0.1306137258
273	0.1301747486
274	0.129813555
275	0.1294946389
276	0.1292469026
277	0.1289028107
278	0.1284923766
279	0.1281615152
280	0.1277721595
281	0.1274737319
282	0.1271960542
283	0.1268315451
284	0.1265151166
285	0.1261692468
286	0.125698105
287	0.1253517545
288	0.1250868654
289	0.1248240199
290	0.1244900953
291	0.1241445533
292	0.123830369
293	0.1233790819
294	0.1229831682
295	0.1224902314
296	0.1220892258
297	0.121829813
298	0.1214513922
299	0.121004147
300	0.1205845083
301	0.120417971
302	0.1201329621
303	0.1198540382
304	0.1195976144
305	0.1192442818
306	0.1188669378
307	0.1185087157
308	0.1182138393
309	0.1179667568
310	0.117605216
311	0.1172972367
312	0.1170006736
313	0.1166994028
314	0.1163378441
315	0.1160578723
316	0.1157990567
317	0.1155416625
318	0.1152595541
319	0.1150099299
320	0.1146265776
321	0.1142829027
322	0.1140503377
323	0.1137605762
324	0.1135169371
325	0.1132677542
326	0.1129761498
327	0.1127880067
328	0.1124808229
329	0.1122381137
330	0.1119450841
331	0.1117045596
332	0.1113328367
333	0.1109863423
334	0.1107653136
335	0.1105891692
336	0.1103401145
337	0.1100867775
338	0.1096518066
339	0.1094700642
340	0.1092252024
341	0.1090536445
342	0.1087728908
343	0.1085021299
344	0.1082801408
345	0.1080035582
346	0.1076737946
347	0.1073131784
348	0.107058183
349	0.1067798973
350	0.1064199497
351	0.1061288085
352	0.1058519792
353	0.1055250272
354	0.1052459653
355	0.1050225065
356	0.1048051334
357	0.1046438284
358	0.1043791562
359	0.1041477684
360	0.1039087647
361	0.103675941
362	0.103536006
363	0.1032968519
364	0.1031076953
365	0.1028078389
366	0.1025386023
367	0.1022866291
368	0.1020781125
369	0.1017100713
370	0.1014746914
371	0.1012045397
372	0.1009765405
373	0.1007870034
374	0.1005239739
375	0.1002913683
376	0.1001052175
377	0.09980063287
378	0.09938090411
379	0.09922039053
380	0.09883412829
381	0.09860280959
382	0.09831032602
383	0.09801463132
384	0.09781680508
385	0.09763294719
386	0.09745165807
387	0.09729522265
388	0.09711123678
389	0.09683687534
390	0.09655679738
391	0.09632117553
392	0.09614415747
393	0.09595274165
394	0.0956875032
395	0.09547122546
396	0.09533089569
397	0.09503519363
398	0.09485638596
399	0.09467435826
400	0.09442065417
401	0.09423553078
402	0.09394592769
403	0.09366780345
404	0.09334361329
405	0.09316153532
406	0.0929355076
407	0.09271949515
408	0.09256041427
409	0.09235507608
410	0.09211581028
411	0.09193217322
412	0.09174969498
413	0.09147869176
414	0.09125393123
415	0.09109281397
416	0.09096533759
417	0.09074050636
418	0.09057739686
419	0.0903205265
420	0.09012929339
421	0.08994993642
422	0.08974154964
423	0.08960182662
424	0.08943968524
425	0.08926113961
426	0.08904478293
427	0.08887317413
428	0.08863862925
429	0.0884753841
430	0.08830637468
431	0.08812172107
432	0.08782784137
433	0.08765498738
434	0.0874442135
435	0.08735936189
436	0.08718911065
437	0.08690428856
438	0.08675191322
439	0.08662506187
440	0.08642411909
441	0.08621724166
442	0.08603984686
443	0.08589814814
444	0.08574204814
445	0.08564100291
446	0.08539986845
447	0.08517639275
448	0.08506629504
449	0.08491600957
450	0.08469281516
451	0.08450133781
452	0.08430086539
453	0.08415452223
454	0.08400476836
455	0.08383247185
456	0.0836143516
457	0.08344098528
458	0.08322618034
459	0.08311316463
460	0.08295604741
461	0.08276583457
462	0.08257307596
463	0.08241786162
464	0.08228212391
465	0.08210570174
466	0.08196992856
467	0.08181097943
468	0.08167460113
469	0.08150347442
470	0.08133571477
471	0.08118037376
472	0.08095467537
473	0.08074691812
474	0.08063609841
475	0.08048046483
476	0.08022243612
477	0.08009910879
478	0.07996239398
479	0.07983599007
480	0.07969303282
481	0.07954731552
482	0.07941497597
483	0.07925825805
484	0.07913216221
485	0.07898295274
486	0.07883527818
487	0.07856685673
488	0.07838696732
489	0.07829751881
490	0.07818201142
491	0.07801701259
492	0.07792782821
493	0.07779640905
494	0.07771536967
495	0.07752341593
496	0.07727030869
497	0.07716577604
498	0.07707141483
499	0.07688625626
500	0.07675063036
501	0.0765872861
502	0.0763957152
503	0.07620181148
504	0.07603585183
505	0.07595695907
506	0.07578397307
507	0.07563611978
508	0.07551310748
509	0.07540484764
510	0.07529963269
511	0.07519232554
512	0.07508352975
513	0.07490797965
514	0.07480768543
515	0.07467880012
516	0.07460442567
517	0.07443409754
518	0.07421131123
519	0.07407916772
520	0.073978415
521	0.07387174371
522	0.07378113245
523	0.07365750701
524	0.07354584625
525	0.07344502271
526	0.07330613915
527	0.07318376187
528	0.07306740486
529	0.07288015179
530	0.07288025617
531	0.07274159154
532	0.07258352643
533	0.07246646319
534	0.0723539577
535	0.07221283272
536	0.07207477251
537	0.07192696364
538	0.07179292637
539	0.07165482429
540	0.07155445875
541	0.07147795258
542	0.07140682758
543	0.07123344796
544	0.07117031578
545	0.0710887211
546	0.07095389355
547	0.07085335042
548	0.07073532688
549	0.07053347832
550	0.07038929866
551	0.07028443854
552	0.07018003259
553	0.07008045726
554	0.06993073105
555	0.06982426149
556	0.06976323615
557	0.06962104667
558	0.06941525416
559	0.06930351186
560	0.06917263746
561	0.06904146811
562	0.0689071514
563	0.06885558111
564	0.06875292816
565	0.06860520829
566	0.06845028443
567	0.06830597513
568	0.06821126813
569	0.06809282878
570	0.06799834378
571	0.06785846358
572	0.06775563649
573	0.0676266826
574	0.06753571393
575	0.06739831376
576	0.06731175035
577	0.06719890622
578	0.06710912434
579	0.06695251491
580	0.06681688111
581	0.06675232386
582	0.06663827383
583	0.06656130653
584	0.0664501719
585	0.06636559286
586	0.06622799281
587	0.06611762618
588	0.06602279462
589	0.06590004868
590	0.06577812822
591	0.06562473667
592	0.06553822659
593	0.06533160409
594	0.06527555213
595	0.06518516192
596	0.0650522992
597	0.06494496905
598	0.06481464042
599	0.0647318211
600	0.0646698058
601	0.06453862986
602	0.06445743679
603	0.06438381398
604	0.06424969008
605	0.06415718181
606	0.0640569098
607	0.06397694516
608	0.06390308383
609	0.06378600183
610	0.06369069981
611	0.06359442637
612	0.06342600833
613	0.06330949646
614	0.06323937653
615	0.06317663429
616	0.06307038417
617	0.0629617227
618	0.06290461161
619	0.06284433049
620	0.06269162837
621	0.06262045358
622	0.0625486948
623	0.06243095071
624	0.06229906101
625	0.06224363357
626	0.06214052757
627	0.06205929739
628	0.06193676656
629	0.06187114793
630	0.06178550215
631	0.06166911563
632	0.06158762534
633	0.06149189903
634	0.06141071986
635	0.0612954498
636	0.06121393752
637	0.06106929631
638	0.06095042653
639	0.06087634547
640	0.06078872062
641	0.06065221336
642	0.06053168495
643	0.06044335943
644	0.06031032197
645	0.06016337534
646	0.06009528025
647	0.05996494643
648	0.05987092423
649	0.05972310297
650	0.05963581646
651	0.05956433424
652	0.05950455529
653	0.05936486704
654	0.05925235298
655	0.05916597045
656	0.05906607387
657	0.0589366254
658	0.05878368132
659	0.05873228827
660	0.05865088801
661	0.05854663655
662	0.05848469398
663	0.05839612591
664	0.0582823393
665	0.05816251005
666	0.05811987176
667	0.05801979242
668	0.05793068895
669	0.05784958509
670	0.05779423427
671	0.05771078368
672	0.05763586215
673	0.05752637187
674	0.05741861671
675	0.05736304822
676	0.05724262949
677	0.0571554327
678	0.0570809331
679	0.05700533962
680	0.05693654056
681	0.05685421332
682	0.05677544843
683	0.0566921954
684	0.0566523151
685	0.05659657685
686	0.05650955744
687	0.05648068018
688	0.05642231853
689	0.05635492039
690	0.05629458701
691	0.05623481628
692	0.05611018825
693	0.05601465544
694	0.05594215945
695	0.05585899999
696	0.05576586675
697	0.05565591444
698	0.05559295192
699	0.05552823125
700	0.05545995765
701	0.05534272811
702	0.05526893662
703	0.05516895515
704	0.05508321008
705	0.0549886614
706	0.05485929693
707	0.05480598125
708	0.05471187976
709	0.05463427312
710	0.05454555224
711	0.05445208733
712	0.05434044969
713	0.05428957111
714	0.0542320028
715	0.05415702813
716	0.05404131301
717	0.05392046891
718	0.05382749363
719	0.05374200124
720	0.05366733425
721	0.05352098096
722	0.05343115337
723	0.05337709901
724	0.05332882482
725	0.05327677001
726	0.05323158712
727	0.05315158901
728	0.05309623091
729	0.05301370282
730	0.05289630925
731	0.0528168817
732	0.05272986281
733	0.05267301502
734	0.05259498993
735	0.05252445205
736	0.05248244519
737	0.05241468786
738	0.05237962178
739	0.05228616406
740	0.05225535133
741	0.05216898832
742	0.05208761082
743	0.05202441088
744	0.05192931834
745	0.05184163561
746	0.05176643225
747	0.05169821945
748	0.0516555365
749	0.05156575451
750	0.05147079547
751	0.0514095636
